datetime,temp,dew,humidity,precip,precipcover,preciptype,uvindex
2019-08-15 0:00:00.0000,66.7,61,82.4,0,0,,7
2019-08-16 0:00:00.0000,68.5,62.9,82.5,0,0,,7
2019-08-17 0:00:00.0000,69.8,64.5,83.3,0,0,,5
2019-08-18 0:00:00.0000,74.4,67.9,80.6,0.158,16.67,rain,6
2019-08-19 0:00:00.0000,82.6,68.8,65,0.008,4.17,rain,7
2019-08-20 0:00:00.0000,77.8,61.9,59.1,0,0,,7
2019-08-21 0:00:00.0000,77.2,67.7,73,0.069,20.83,rain,4
2019-08-22 0:00:00.0000,81.4,66.7,64,0,0,,7
2019-08-23 0:00:00.0000,76.2,53.5,46.1,0,0,,7
2019-08-24 0:00:00.0000,67.8,52.5,58.7,0,0,,7
2019-08-25 0:00:00.0000,65.2,54.6,68.7,0,0,,5
2019-08-26 0:00:00.0000,64.6,52.9,66.8,0,0,,7
2019-08-27 0:00:00.0000,67.1,53.2,62.6,0,0,,6
2019-08-28 0:00:00.0000,68.9,60.1,74.1,0.374,37.5,rain,6
2019-08-29 0:00:00.0000,75.7,61.8,65.3,0.6,25,rain,7
2019-08-30 0:00:00.0000,77.2,57.5,51.7,0,0,,7
2019-08-31 0:00:00.0000,75.3,49.7,41.4,0,0,,7
2019-09-01 0:00:00.0000,67.2,53.9,62.8,0,0,,6
2019-09-02 0:00:00.0000,69.2,59.6,72.5,1.085,20.83,rain,6
2019-09-03 0:00:00.0000,70.7,60,69.7,0,0,,7
2019-09-04 0:00:00.0000,74.1,63.7,71.3,0.324,8.33,rain,5
2019-09-05 0:00:00.0000,65.7,49.8,56.9,0,0,,7
2019-09-06 0:00:00.0000,64.6,54.8,70.4,0,0,,3
2019-09-07 0:00:00.0000,65.3,51,62,0.034,12.5,rain,5
2019-09-08 0:00:00.0000,68.7,50.1,52.7,0,0,,7
2019-09-09 0:00:00.0000,65.3,52,62.4,0,0,,7
2019-09-10 0:00:00.0000,67.5,59.1,74.9,0,0,,5
2019-09-11 0:00:00.0000,77.2,64.5,65.8,0,0,,6
2019-09-12 0:00:00.0000,65.6,57.1,74.3,0.071,8.33,rain,2
2019-09-13 0:00:00.0000,61.1,45.9,59.1,0,0,,7
2019-09-14 0:00:00.0000,63.8,54.2,71.2,0.127,4.17,rain,3
2019-09-15 0:00:00.0000,73.7,57.1,59.5,0.079,8.33,rain,6
2019-09-16 0:00:00.0000,68.5,48.2,49.3,0,0,,6
2019-09-17 0:00:00.0000,63.4,48.3,58.1,0,0,,6
2019-09-18 0:00:00.0000,59.6,43.2,55,0,0,,4
2019-09-19 0:00:00.0000,58.1,42.8,57.4,0,0,,6
2019-09-20 0:00:00.0000,66.5,46.5,50.9,0,0,,7
2019-09-21 0:00:00.0000,72,53.7,53.2,0,0,,7
2019-09-22 0:00:00.0000,75.1,57.2,56.2,0,0,,7
2019-09-23 0:00:00.0000,78.7,64,62.4,0,0,,7
2019-09-24 0:00:00.0000,72.3,57.1,60.7,0.139,12.5,rain,6
2019-09-25 0:00:00.0000,64.7,50.4,60.9,0,0,,6
2019-09-26 0:00:00.0000,67.7,55.4,67.3,0.267,12.5,rain,6
2019-09-27 0:00:00.0000,65.2,50.1,59.3,0,0,,6
2019-09-28 0:00:00.0000,69.4,56.8,65.5,0,0,,6
2019-09-29 0:00:00.0000,69,54.4,61.1,0,0,,5
2019-09-30 0:00:00.0000,57.8,44.2,60.7,0,0,,5
2019-10-01 0:00:00.0000,64.2,55.6,73.9,0.05,4.17,rain,3
2019-10-02 0:00:00.0000,68.6,60.9,76.8,0.226,16.67,rain,2
2019-10-03 0:00:00.0000,53.7,39.8,59.4,0,0,,2
2019-10-04 0:00:00.0000,55.5,42.3,63.7,0.113,25,rain,4
2019-10-05 0:00:00.0000,50,32.7,52.1,0,0,,6
2019-10-06 0:00:00.0000,58.8,46.7,64.6,0,0,,4
2019-10-07 0:00:00.0000,72.8,58.3,61.5,0.144,12.5,rain,5
2019-10-08 0:00:00.0000,61,51.9,72.3,0.028,8.33,rain,2
2019-10-09 0:00:00.0000,57.6,47.2,68.7,0.071,8.33,rain,1
2019-10-10 0:00:00.0000,56.2,44.3,64.8,0.024,8.33,rain,1
2019-10-11 0:00:00.0000,55.3,47.6,75.5,0.328,58.33,rain,1
2019-10-12 0:00:00.0000,55.9,49.9,80.3,0.025,12.5,rain,2
